Gene > Primary SGDID	Gene > Systematic Name	Gene > Standard Name	Gene > Name	Gene > Alias	Gene > Length
S000003648	YJL112W	MDV1	Mitochondrial DiVision	GAG3 FIS2 NET2	2145
S000003651	YJL115W	ASF1	Anti-Silencing Function	CIA1	840
S000003652	YJL116C	NCA3	Nuclear Control of ATPase	""	1014
S000003653	YJL117W	PHO86	PHOsphate metabolism	""	936
S000003654	YJL118W	""	""	""	660
S000003655	YJL119C	""	""	""	324
S000003656	YJL120W	""	""	""	324
S000003657	YJL121C	RPE1	Ribulose 5-Phosphate Epimerase	ribulose-phosphate 3-epimerase RPE1 EPI1 POS18	717
S000003658	YJL122W	ALB1	Arx1 Little Brother	""	528
S000003659	YJL123C	MTC1	Maintenance of Telomere Capping	""	1437
S000003660	YJL124C	LSM1	Like SM	SPB8	519
S000003661	YJL125C	GCD14	General Control Nonderepressible	1-methyladenosine tRNA methyltransferase subunit TRM61	1152
S000003662	YJL126W	NIT2	NITrilase superfamily	""	924
S000003663	YJL127C	SPT10	SuPpressor of Ty	CRE1 SUD1	1923
S000003664	YJL128C	PBS2	Polymyxin B Sensitivity	HOG4 SSK4 SFS4	2007
S000003665	YJL129C	TRK1	TRansport of potassium (K)	""	3708
S000003666	YJL130C	URA2	URAcil requiring	bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase	6645
S000003667	YJL131C	AIM23	Altered Inheritance rate of Mitochondria	""	1071
S000003668	YJL132W	""	""	""	2253
S000003669	YJL133W	MRS3	Mitochondrial RNA Splicing	""	945
S000003670	YJL134W	LCB3	Long-Chain Base	sphinganine kinase LCB3 YSR2 LBP1	1230
S000003671	YJL135W	""	""	""	318
S000003672	YJL136C	RPS21B	Ribosomal Protein of the Small subunit	S26B ribosomal 40S subunit protein S21B S21e YS25 S21B	724
S000003673	YJL137C	GLG2	Glycogenin-Like Gene	glycogenin glucosyltransferase GLG2	1143
S000003674	YJL138C	TIF2	Translation Initiation Factor	eIF4A	1188
S000003675	YJL139C	YUR1	""	""	1287
S000003676	YJL140W	RPB4	RNA Polymerase B	B32 CTF15	666
S000003677	YJL141C	YAK1	Yet Another Kinase	""	2424
S000003678	YJL142C	IRC9	Increased Recombination Centers	""	393
S000003679	YJL143W	TIM17	Translocase of the Inner Mitochondrial membrane	MPI2 MIM17 SMS1	477
S000003680	YJL144W	""	""	""	315
S000003681	YJL145W	SFH5	Sec Fourteen Homolog	""	885
S000003682	YJL146W	IDS2	IME2-Dependent Signaling	""	1410
S000003683	YJL147C	""	""	""	1149
S000003684	YJL148W	RPA34	RNA Polymerase A	CST21 A34.5	702
S000003685	YJL149W	DAS1	Dst1-delta 6-Azauracil Sensitivity	SCF ubiquitin ligase complex subunit DAS1	1992
S000003686	YJL150W	""	""	""	303
S000003687	YJL151C	SNA3	Sensitivity to NA+	""	402
S000003688	YJL152W	""	""	""	360
S000003689	YJL153C	INO1	INOsitol requiring	inositol-3-phosphate synthase INO1 APR1	1602
S000003690	YJL154C	VPS35	Vacuolar Protein Sorting	VPT7 GRD9	2835
S000003691	YJL155C	FBP26	Fructose BisPhosphatase	""	1359
S000003692	YJL156C	SSY5	Sulfonylurea Sensitive on YPD	RAA3	2100
S000003693	YJL157C	FAR1	Factor ARrest	""	2493
S000003694	YJL158C	CIS3	CIk1 Suppressing	PIR4 CCW5 CCW11	684
S000003695	YJL159W	HSP150	Heat Shock Protein	ORE1 PIR2 heat shock protein HSP150 CCW7	1242
S000003696	YJL160C	""	Protein with PIR repeats	""	864
S000003697	YJL161W	FMP33	Found in Mitochondrial Proteome	""	543
S000003698	YJL162C	JJJ2	J-protein (Type III)	""	1752
S000003699	YJL163C	""	""	""	1668
S000003700	YJL164C	TPK1	Takashi's Protein Kinase	PKA1 SRA3	1194
S000003701	YJL165C	HAL5	HALotolerance	""	2568
S000003702	YJL166W	QCR8	ubiQuinol-cytochrome C oxidoReductase	ubiquinol--cytochrome-c reductase subunit 8 COR5	285
S000003703	YJL167W	ERG20	ERGosterol biosynthesis	FPP1 bifunctional (2E,6E)-farnesyl diphosphate synthase/dimethylallyltranstransferase FDS1 BOT3	1059
S000003704	YJL168C	SET2	SET domain-containing	KMT3 EZL1	2202
S000003705	YJL169W	""	""	""	369
S000003706	YJL170C	ASG7	a-Specific Gene	""	630
S000003707	YJL171C	""	""	""	1191
S000003708	YJL172W	CPS1	CarboxyPeptidase yscS	""	1731
S000003709	YJL173C	RFA3	Replication Factor A	RPA14 RPA3	369
S000003710	YJL174W	KRE9	Killer toxin REsistant	""	831
S000003711	YJL175W	""	""	""	513
S000003712	YJL176C	SWI3	SWItching deficient	TYE2	2478
S000003713	YJL177W	RPL17B	Ribosomal Protein of the Large subunit	L17B L20B YL17 L22 ribosomal 60S subunit protein L17B	872
S000003714	YJL178C	ATG27	AuTophaGy related	ETF1	816
S000003715	YJL179W	PFD1	PreFolDin	GIM6	330
S000003716	YJL180C	ATP12	ATP synthase	""	978
S000003717	YJL181W	""	Ran-Binding Homologue	""	1836
S000003718	YJL182C	""	""	""	318
S000003719	YJL183W	MNN11	MaNNosyltransferase	""	1269
S000003720	YJL184W	GON7	""	PCC2 LDB6	372
S000003721	YJL185C	ATG36	AuTophaGy related	""	882
S000003722	YJL186W	MNN5	MaNNosyltransferase	""	1761
S000003723	YJL187C	SWE1	Saccharomyces WEe1	WEE1	2460
S000003724	YJL188C	BUD19	BUD site selection	""	309
S000003725	YJL189W	RPL39	Ribosomal Protein of the Large subunit	L39 YL40 L39e ribosomal 60S subunit protein L39 RPL46 L46 SPB2 PUB2	542
S000003726	YJL190C	RPS22A	Ribosomal Protein of the Small subunit	S22A ribosomal 40S subunit protein S22A S8 RPS24 rp50 YS22 S24A	393
S000003727	YJL191W	RPS14B	Ribosomal Protein of the Small subunit	CRY2 S11 ribosomal 40S subunit protein S14B rp59B S14B	825
S000003728	YJL192C	SOP4	Suppressor Of Pma1-7	""	705
S000003729	YJL193W	""	""	""	1209
S000003730	YJL194W	CDC6	Cell Division Cycle	AAA family ATPase CDC6	1542
S000003731	YJL195C	""	""	""	702
S000003732	YJL196C	ELO1	ELOngation defective	fatty acid elongase ELO1	933
S000003733	YJL197W	UBP12	UBiquitin-specific Protease	""	3765
S000003734	YJL198W	PHO90	PHOsphate metabolism	""	2646
S000003735	YJL199C	MBB1	""	""	327
S000003736	YJL200C	ACO2	ACOnitase	aconitate hydratase ACO2	2370
S000003737	YJL201W	ECM25	ExtraCellular Mutant	""	1800
S000003738	YJL202C	""	""	""	348
S000003739	YJL203W	PRP21	Pre-mRNA Processing	SPP91	843
S000003740	YJL204C	RCY1	ReCYcling	""	2523
S000003741	YJL206C	""	""	""	2277
S000003742	YJL205C	NCE101	NonClassical Export	NCE1 YJL205C-A YJL206C-A	305
S000003743	YJL207C	LAA1	Large AP-1 Accessory	""	6045
S000003744	YJL208C	NUC1	NUClease	""	990
S000003745	YJL209W	CBP1	Cytochrome B mRNA Processing	""	1965
S000003746	YJL210W	PEX2	PEroXin	ubiquitin-protein ligase peroxin 2 PAS5 CRT1	816
S000003747	YJL211C	""	""	""	444
S000003748	YJL212C	OPT1	OligoPeptide Transporter	GSH11 HGT1	2400
S000003749	YJL213W	""	""	""	996
S000003750	YJL214W	HXT8	HeXose Transporter	""	1710
S000003751	YJL215C	""	""	""	360
S000003752	YJL216C	IMA5	IsoMAltase	""	1746
S000003753	YJL217W	REE1	REgulation of Enolase	""	597
S000003754	YJL218W	""	""	acetyltransferase	591
S000003755	YJL219W	HXT9	HeXose Transporter	""	1704
S000003756	YJL220W	""	""	""	453
S000003757	YJL221C	IMA4	IsoMAltase	FSP2	1770
S000003758	YJL222W	VTH2	""	""	4650
S000003759	YJL223C	PAU1	seriPAUperin family	""	363
S000003760	YJL225C	""	""	Y' element ATP-dependent helicase	5665
S000003761	YJR001W	AVT1	Amino acid Vacuolar Transport	""	1809
S000003762	YJR002W	MPP10	M Phase Phosphoproteins	""	1782
S000003763	YJR003C	""	""	""	1560
S000003764	YJR004C	SAG1	Sexual AGglutination	AG(ALPHA)1	1953
S000003765	YJR005W	APL1	clathrin Adaptor Protein complex Large chain	YAP80	2103
S000003766	YJR006W	POL31	POLymerase	HUS2 SDP5 HYS2	1464
S000003767	YJR007W	SUI2	SUppressor of Initiator codon	""	915
S000003768	YJR008W	MHO1	Memo HOmolog	""	1017
S000003769	YJR009C	TDH2	Triose-phosphate DeHydrogenase	GAPDH glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH2 GLD2	999
S000003770	YJR010C-A	SPC1	Signal Peptidase Complex	""	285
S000003771	YJR010W	MET3	METhionine requiring	sulfate adenylyltransferase	1536
S000003772	YJR011C	""	""	""	786
S000003773	YJR012C	""	""	""	624
S000003774	YJR013W	GPI14	GlycosylPhosphatidylInositol anchor biosynthesis	PMH1	1212
S000003775	YJR014W	TMA22	Translation Machinery Associated	RBF22	597
S000003776	YJR015W	""	""	""	1533
S000003777	YJR016C	ILV3	IsoLeucine-plus-Valine requiring	dihydroxy-acid dehydratase ILV3	1758
S000003778	YJR017C	ESS1	ESSential	peptidylprolyl isomerase ESS1 PIN1 PTF1	513
S000003779	YJR018W	""	""	""	363
S000003780	YJR019C	TES1	ThioESterase	PTE1	1050
S000003781	YJR020W	""	""	""	333
S000003782	YJR021C	REC107	RECombination	MER2	1025
S000003783	YJR022W	LSM8	Like SM	""	330
S000003784	YJR023C	""	""	""	402
S000003785	YJR024C	MDE1	Methylthioribulose-1-phosphate DEhydratase	methylthioribulose 1-phosphate dehydratase MDE1	735
S000003786	YJR025C	BNA1	Biosynthesis of Nicotinic Acid	HAD1 3-hydroxyanthranilate 3,4-dioxygenase	534
S000003791	YJR030C	""	""	Ran-Binding Homologue 2	""	2238
S000003792	YJR031C	GEA1	Guanine nucleotide Exchange on ARF	""	4227
S000003793	YJR032W	CPR7	Cyclosporin-sensitive Proline Rotamase	peptidylprolyl isomerase CPR7	1182
S000003794	YJR033C	RAV1	Regulator of (H+)-ATPase in Vacuolar membrane	SOI3	4074
S000003795	YJR034W	PET191	PETite colonies	""	327
S000003796	YJR035W	RAD26	RADiation sensitive	DNA-dependent ATPase RAD26	3258
S000003797	YJR036C	HUL4	Hect Ubiquitin Ligase	putative E3 ubiquitin-protein ligase HUL4	2679
S000003798	YJR037W	""	""	""	384
S000003799	YJR038C	""	""	""	363
S000003800	YJR039W	""	""	""	3366
S000003801	YJR040W	GEF1	Glycerol Ethanol, Ferric requiring	CLC	2340
S000003802	YJR041C	URB2	Unhealthy Ribosome Biogenesis	NPA2	3525
S000003803	YJR042W	NUP85	NUclear Pore	RAT9	2235
S000003804	YJR043C	POL32	POLymerase	""	1053
S000003805	YJR044C	VPS55	Vacuolar Protein Sorting	""	423
S000003806	YJR045C	SSC1	Stress-Seventy subfamily C	ENS1 mtHSP70 Hsp70 family ATPase SSC1	1965
S000003807	YJR046W	TAH11	Topo-A Hypersensitive	CDT1 SID2	1815
S000003808	YJR047C	ANB1	ANaeroBically induced	eIF5A eIF-5A HYP1 TIF51B	474
S000003809	YJR048W	CYC1	CYtochrome C	iso-1-cytochrome c	330
S000003810	YJR049C	UTR1	Unidentified TRanscript	""	1593
S000003811	YJR050W	ISY1	Interactor of SYf1p	UTR3 NTC30	708
S000003812	YJR051W	OSM1	OSMotic sensitivity	FRDS2	1506
S000003813	YJR052W	RAD7	RADiation sensitive	""	1698
S000003814	YJR053W	BFA1	""	IBD1	1725
S000003815	YJR054W	KCH1	Potassium (K) regulator of CcH1	ERM6	1494
S000003816	YJR055W	HIT1	HIgh Temperature growth	""	495
S000003817	YJR056C	""	""	""	711
S000003818	YJR057W	CDC8	Cell Division Cycle	bifunctional thymidylate/uridylate kinase	651
S000003819	YJR058C	APS2	clathrin Associated Protein complex Small subunit	YAP17	444
S000003820	YJR059W	PTK2	Putative serine/Threonine protein Kinase	STK2	2457
S000003821	YJR060W	CBF1	Centromere Binding Factor	CP1 CPF1 CEP1	1056
S000003822	YJR061W	""	""	""	2808
S000003823	YJR062C	NTA1	N-Terminal Amidase	DEA1	1374
S000003824	YJR063W	RPA12	RNA Polymerase A	A12.2 RRN4	378
S000003825	YJR064W	CCT5	Chaperonin Containing TCP-1	TCP5	1689
S000003826	YJR065C	ARP3	Actin-Related Protein	actin-related protein 3 ACT4	1350
S000003827	YJR066W	TOR1	Target Of Rapamycin	DRR1	7413
S000003828	YJR067C	YAE1	""	""	426
S000003829	YJR068W	RFC2	Replication Factor C	replication factor C subunit 2	1062
S000003830	YJR069C	HAM1	6-n-HydroxylAMinopurine sensitive	nucleoside triphosphate pyrophosphohydrolase HAM1	594
S000003831	YJR070C	LIA1	Ligand of eIF5A	MMD1	978
S000003832	YJR071W	""	""	""	369
S000003833	YJR072C	NPA3	Nucleolar Preribosomal Associated	GPN1 EPA1	1158
S000003834	YJR073C	OPI3	OverProducer of Inositol	bifunctional phosphatidyl-N-methylethanolamine N-methyltransferase/phosphatidyl-N-dimethylethanolamine N-methyltransferase PEM2	621
S000003835	YJR074W	MOG1	Multicopy suppressor Of ts Gsp1	""	657
S000003836	YJR075W	HOC1	Homologous to OCh1	""	1191
S000003837	YJR076C	CDC11	Cell Division Cycle	PSL9 septin CDC11	1248
S000003838	YJR077C	MIR1	""	PTP	936
S000003839	YJR078W	BNA2	Biosynthesis of Nicotinic Acid	dioxygenase BNA2	1362
S000003840	YJR079W	""	""	""	1035
S000003841	YJR080C	AIM24	Altered Inheritance rate of Mitochondria	FMP26	1185
S000003842	YJR082C	EAF6	Esa1p-Associated Factor	""	342
S000003843	YJR083C	ACF4	Assembly Complementing Factor	""	930
S000003844	YJR084W	""	""	CSN12	1272
S000003845	YJR085C	""	""	""	318
S000003846	YJR086W	STE18	STErile	""	333
S000003847	YJR087W	""	""	""	351
S000003848	YJR088C	EMC2	ER Membrane protein Complex	""	879
S000003849	YJR089W	BIR1	Baculoviral IAP Repeat-containing protein	""	2865
S000003850	YJR090C	GRR1	Glucose Repression-Resistant	SDC1 SCF ubiquitin ligase complex subunit GRR1 SSU2 COT2 CAT80	3456
S000003851	YJR091C	JSN1	Just Say No	PUF1	3276
S000003852	YJR092W	BUD4	BUD site selection	""	4344
S000003853	YJR093C	FIP1	Factor Interacting with Poly(A) polymerase	""	984
S000003854	YJR094C	IME1	Inducer of MEiosis	""	1083
S000003855	YJR094W-A	RPL43B	Ribosomal Protein of the Large subunit	L43B L43e ribosomal 60S subunit protein L43B	554
S000003856	YJR095W	SFC1	Succinate-Fumarate Carrier	ACR1	969
S000003857	YJR096W	""	""	aldo-keto reductase superfamily protein	849
S000003858	YJR097W	JJJ3	J-protein (Type III)	DPH4	519
S000003859	YJR098C	""	""	""	1971
S000003860	YJR099W	YUH1	Yeast Ubiquitin Hydrolase	""	711
S000003861	YJR100C	AIM25	Altered Inheritance of Mitochondria	""	984
S000003862	YJR101W	RSM26	Ribosomal Small subunit of Mitochondria	mitochondrial 37S ribosomal protein RSM26	801
S000003863	YJR102C	VPS25	Vacuolar Protein Sorting	VPT25 VPL12	609
S000003864	YJR103W	URA8	URAcil requiring	CTP synthase URA8	1737
S000003865	YJR104C	SOD1	SuperOxide Dismutase	superoxide dismutase SOD1 CRS4	465
S000003866	YJR105W	ADO1	ADenOsine kinase	adenosine kinase	1023
S000003867	YJR106W	ECM27	ExtraCellular Mutant	""	2178
S000003868	YJR107W	""	""	putative lipase	987
S000003869	YJR108W	ABM1	Aberrant Microtubules	""	372
S000003870	YJR109C	CPA2	Carbamyl Phosphate synthetase A	carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA2	3357
S000003871	YJR110W	YMR1	Yeast Myotubularin Related	phosphatidylinositol-3-phosphatase YMR1	2067
S000003872	YJR111C	""	""	""	852
S000003873	YJR112W	NNF1	Necessary for Nuclear Function	""	606
S000003874	YJR113C	RSM7	Ribosomal Small subunit of Mitochondria	mitochondrial 37S ribosomal protein RSM7	744
S000003875	YJR114W	""	""	SRF2	393
S000003876	YJR115W	""	""	""	510
S000003877	YJR116W	TDA4	Topoisomerase I Damage Affected	""	840
S000003878	YJR117W	STE24	STErile	PIO2 AFC1	1362
S000003879	YJR118C	ILM1	Increased Loss of Mitochondrial DNA	""	612
S000003880	YJR119C	JHD2	JmjC domain-containing Histone Demethylase	KDM5 KDM5	2187
S000003881	YJR120W	""	""	""	351
S000003882	YJR121W	ATP2	ATP synthase	F1F0 ATP synthase subunit beta	1536
S000003883	YJR122W	IBA57	Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins	CAF17	1494
S000003884	YJR123W	RPS5	Ribosomal Protein of the Small subunit	S5 S2 S7 rp14 YS8 ribosomal 40S subunit protein S5	678
S000003885	YJR124C	""	""	""	1347
S000003886	YJR125C	ENT3	Epsin N-Terminal homology	""	1227
S000003887	YJR126C	VPS70	Vacuolar Protein Sorting	""	2436
S000003888	YJR127C	RSF2	ReSpiration Factor	ZMS1	4143
S000003889	YJR128W	""	""	""	360
S000003890	YJR129C	""	""	""	1020
S000003891	YJR130C	STR2	Sulfur TRansfer	""	1920
S000003892	YJR131W	MNS1	""	""	1650
S000003893	YJR132W	NMD5	""	KAP119	3147
S000003894	YJR133W	XPT1	Xanthine Phosphoribosyl Transferase	xanthine phosphoribosyltransferase	630
S000003895	YJR134C	SGM1	Slow growth on Galactose and Mannose	""	2124
S000003896	YJR135C	MCM22	MiniChromosome Maintenance	""	720
S000003897	YJR136C	TTI2	Two Tel2-Interacting protein	""	1266
S000003898	YJR137C	MET5	METhionine requiring	ECM17 sulfite reductase (NADPH) subunit beta	4329
S000003899	YJR138W	IML1	Increased Minichromosome Loss	SEA1	4755
S000003900	YJR139C	HOM6	HOMoserine requiring	THR6 homoserine dehydrogenase	1080
S000003901	YJR140C	HIR3	HIstone Regulation	HPC1	4947
S000003902	YJR141W	""	""	""	1044
S000003903	YJR142W	""	""	""	1029
S000003904	YJR143C	PMT4	Protein O-MannosylTransferase	""	2289
S000003905	YJR144W	MGM101	Mitochondrial Genome Maintenance	MGM9	810
S000003906	YJR145C	RPS4A	Ribosomal Protein of the Small subunit	S7A ribosomal 40S subunit protein S4A S4e YS6 rp5 S4A	1042
S000003907	YJR146W	""	""	""	354
S000003908	YJR147W	HMS2	High-copy Mep Suppressor	""	1077
S000003909	YJR148W	BAT2	Branched-chain Amino acid Transaminase	branched-chain-amino-acid transaminase BAT2 TWT2 ECA40	1131
S000003910	YJR149W	""	""	""	1215
S000003911	YJR150C	DAN1	Delayed ANaerobic	CCW13	897
S000003912	YJR151C	DAN4	Delayed ANaerobic	""	3486
S000003913	YJR152W	DAL5	Degradation of Allantoin	UREP1	1632
S000003914	YJR153W	PGU1	PolyGalactUronase	PGL1 PSM1	1086
S000003915	YJR154W	""	""	""	1041
S000003916	YJR155W	AAD10	Aryl-Alcohol Dehydrogenase	""	867
S000003917	YJR156C	THI11	THIamine metabolism	""	1023
S000003918	YJR157W	""	""	""	363
S000003919	YJR158W	HXT16	HeXose Transporter	""	1704
S000003920	YJR159W	SOR1	""	SDH1 L-iditol 2-dehydrogenase SOR1	1074
S000003921	YJR160C	MPH3	Maltose Permease Homolog	""	1809
S000003922	YJR161C	COS5	COnserved Sequence	""	1152
S000003923	YJR162C	""	""	""	351
S000003924	YLL001W	DNM1	DyNaMin-related	""	2274
S000003925	YLL002W	RTT109	Regulator of Ty1 Transposition	KIM2 KAT11 REM50	1311
S000003926	YLL003W	SFI1	Suppressor of Fermentation Induced loss of stress resistance	""	2841
S000003927	YLL004W	ORC3	Origin Recognition Complex	origin recognition complex subunit 3	1851
S000003928	YLL005C	SPO75	SPOrulation	""	2607
S000003929	YLL006W	MMM1	Maintenance of Mitochondrial Morphology	YME6	1281
S000003930	YLL007C	""	""	""	1998
S000003931	YLL008W	DRS1	Deficiency of Ribosomal Subunits	""	2259
S000003932	YLL009C	COX17	Cytochrome c OXidase	""	210
S000003933	YLL010C	PSR1	Plasma membrane Sodium Response	""	1284
S000003934	YLL011W	SOF1	Suppressor Of Fibrillarin	""	1470
S000003935	YLL012W	YEH1	Yeast steryl Ester Hydrolase	""	1722
S000003936	YLL013C	PUF3	PUmilio-homology domain Family	""	2640
S000003937	YLL014W	EMC6	ER Membrane protein Complex	""	327
S000003938	YLL015W	BPT1	Bile Pigment Transporter	ATP-binding cassette bilirubin transporter BPT1	4680
S000003941	YLL018C	DPS1	""	AspRS aspartate--tRNA ligase DPS1 aspartyl-tRNA synthetase	1674
S000003942	YLL019C	KNS1	Kinase Next to SPA2	L124	2214
S000003943	YLL020C	""	""	""	306
S000003944	YLL021W	SPA2	Spindle Pole Antigen	PEA1 FUS6	4401
S000003945	YLL022C	HIF1	Hat1 Interacting Factor	""	1158
S000003946	YLL023C	POM33	POre Membrane, 33 kDa	""	840
S000003947	YLL024C	SSA2	Stress-Seventy subfamily A	Hsp70 family chaperone SSA2 YG102	1920
S000003948	YLL025W	PAU17	seriPAUperin	""	375
S000003949	YLL026W	HSP104	Heat Shock Protein	chaperone ATPase HSP104	2727
S000003950	YLL027W	ISA1	Iron Sulfur Assembly	""	753
S000003951	YLL028W	TPO1	Transporter of POlyamines	""	1761
S000003952	YLL029W	FRA1	Fe Repressor of Activation	RUP2	2250
S000003953	YLL030C	RRT7	Regulator of rDNA Transcription	""	342
S000003954	YLL031C	GPI13	GlycosylPhosphatidylInositol anchor biosynthesis	MPC1	3054
S000003955	YLL032C	""	""	""	2478
S000003956	YLL033W	IRC19	Increased Recombination Centers	RRG4 GON2	693
S000003957	YLL034C	RIX7	RIbosome eXport	putative AAA family ATPase RIX7	2514
S000003958	YLL035W	GRC3	""	""	1899
S000003959	YLL036C	PRP19	Pre-RNA Processing	E3 ubiquitin-protein ligase PRP19 PSO4	1512
S000003960	YLL037W	""	""	""	381
S000003961	YLL038C	ENT4	Epsin N-Terminal homology	""	744
S000003962	YLL039C	UBI4	Ubiquitin	ubiquitin SCD2 UB14	1146
S000003963	YLL040C	VPS13	Vacuolar Protein Sorting	SOI1 VPT2	9435
S000003964	YLL041C	SDH2	Succinate DeHydrogenase	ACN17 SDHB succinate dehydrogenase iron-sulfur protein subunit SDH2	801
S000003965	YLL042C	ATG10	AuTophaGy related	APG10	504
S000003966	YLL043W	FPS1	fdp1 Suppressor	""	2010
S000003967	YLL044W	""	""	""	447
S000003968	YLL045C	RPL8B	Ribosomal Protein of the Large subunit	L8B ribosomal 60S subunit protein L8B L8e rp6 YL5 KRB1 SCL41 L4B	771
S000003969	YLL046C	RNP1	""	""	750
S000003970	YLL047W	""	""	""	384
S000003971	YLL048C	YBT1	Yeast Bile Transporter	BAT1 bile acid-transporting ATPase YBT1	4986
S000003972	YLL049W	LDB18	Low Dye Binding	""	540
S000003973	YLL050C	COF1	COFilin	cofilin	611
S000003974	YLL051C	FRE6	Ferric REductase	""	2139
S000003975	YLL052C	AQY2	AQuaporin of Yeast	""	450
S000003976	YLL053C	""	""	""	459
S000003977	YLL054C	""	""	""	2532
S000003978	YLL055W	YCT1	Yeast Cysteine Transporter	""	1596
S000003979	YLL056C	""	""	""	897
S000003980	YLL057C	JLP1	dnaJ-Like Protein	""	1239
S000003981	YLL058W	""	""	cystathionine gamma-synthase	1728
S000003982	YLL059C	""	""	""	507
S000003983	YLL060C	GTT2	GlutaThione Transferase	glutathione transferase GTT2	702
S000003984	YLL061W	MMP1	S-MethylMethionine Permease	""	1752
S000003985	YLL062C	MHT1	S-Methylmethionine-Homocysteine methylTransferase	""	975
S000003986	YLL063C	AYT1	AcetYlTransferase	""	1425
S000003987	YLL064C	PAU18	seriPAUperin	""	363
S000003988	YLL065W	""	""	GIN11	351
S000003989	YLL066C	""	""	Y' element ATP-dependent helicase	3717
S000003990	YLL067C	""	""	Y' element ATP-dependent helicase	3717
S000003991	YLR001C	""	""	""	2589
S000003992	YLR002C	NOC3	NucleOlar Complex associated	""	1992
S000003993	YLR003C	CMS1	Complementation of Mcm-10 Suppressor	""	876
S000003994	YLR004C	THI73	THI regulon	""	1572
S000003995	YLR005W	SSL1	Suppressor of Stem-Loop mutation	""	1386
S000003996	YLR006C	SSK1	Suppressor of Sensor Kinase	""	2139
S000003997	YLR007W	NSE1	Non-SMC Element	""	1011
S000003998	YLR008C	PAM18	Presequence translocase-Associated Motor	TIM14	507
S000003999	YLR009W	RLP24	Ribosomal-Like Protein	""	600
S000004000	YLR010C	TEN1	TElomeric pathways with STn1	""	483
S000004001	YLR011W	LOT6	LOw Temperature-responsive	""	576
S000004002	YLR012C	""	""	""	300
S000004003	YLR013W	GAT3	""	""	426
S000004004	YLR014C	PPR1	Pyrimidine Pathway Regulation	""	2715
S000004005	YLR015W	BRE2	BREfeldin A sensitivity	CPS60	1518
S000004006	YLR016C	PML1	Pre-mRNA Leakage	""	615
S000004007	YLR017W	MEU1	""	S-methyl-5-thioadenosine phosphorylase	1014
S000004008	YLR018C	POM34	POre Membrane	""	900
S000004009	YLR019W	PSR2	Plasma membrane Sodium Response	""	1194
S000004010	YLR020C	YEH2	Yeast steryl Ester Hydrolase	""	1617
S000004011	YLR021W	IRC25	Increased Recombination Centers	PBA3 DMP2 POC3	540
S000004012	YLR022C	SDO1	""	""	753
S000004013	YLR023C	IZH3	Implicated in Zinc Homeostasis	""	1632
S000004014	YLR024C	UBR2	""	putative ubiquitin-protein ligase UBR2	5619
S000004015	YLR025W	SNF7	Sucrose NonFermenting	RNS4 VPS32 DID1 VPL5	723
S000004016	YLR026C	SED5	Suppressor of Erd2 Deletion	""	1023
S000004017	YLR027C	AAT2	Aspartate AminoTransferase	ASP5 aspartate transaminase AAT2	1257
S000004018	YLR028C	ADE16	ADEnine	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase ADE16	1776
S000004019	YLR029C	RPL15A	Ribosomal Protein of the Large subunit	L15A YL10 ribosomal 60S subunit protein L15A L13A RPL10A rp15R L15e	615
S000004020	YLR030W	""	""	""	792
S000004021	YLR031W	""	""	""	561
S000004022	YLR032W	RAD5	RADiation sensitive	REV2 DNA helicase RAD5 SNM2	3510
S000004023	YLR033W	RSC58	Remodel the Structure of Chromatin	""	1509
S000004024	YLR034C	SMF3	""	putative divalent metal ion transporter SMF3	1422
S000004025	YLR035C	MLH2	""	mismatch repair protein MLH2	2088
S000004026	YLR036C	""	""	""	612
S000004027	YLR037C	PAU23	seriPAUperin family	DAN2	375
S000004028	YLR038C	COX12	Cytochrome c OXidase	cytochrome c oxidase subunit VIb	252
S000004029	YLR039C	RIC1	RIbosome Control	""	3171
S000004030	YLR040C	""	""	""	675
S000004031	YLR041W	""	""	""	321
S000004032	YLR042C	""	""	""	486
S000004033	YLR043C	TRX1	ThioRedoXin	LMA1	312
S000004034	YLR044C	PDC1	Pyruvate DeCarboxylase	indolepyruvate decarboxylase 1	1692
S000004035	YLR045C	STU2	Suppressor of tub2	""	2667
S000004036	YLR046C	""	""	RLA1	813
S000004037	YLR047C	FRE8	""	""	2061
S000004038	YLR048W	RPS0B	Ribosomal Protein of the Small subunit	YST2 NAB1B S0B S2 ribosomal 40S subunit protein S0B	1118
S000004039	YLR049C	""	""	""	1287
S000004040	YLR050C	""	""	""	486
S000004041	YLR051C	FCF2	Faf1p Copurifying Factor	""	654
S000004042	YLR052W	IES3	Ino Eighty Subunit	""	753
S000004043	YLR053C	""	""	""	327
S000004044	YLR054C	OSW2	Outer Spore Wall	""	2262
S000004045	YLR055C	SPT8	SuPpressor of Ty	""	1809
S000004046	YLR056W	ERG3	ERGosterol biosynthesis	SYR1 PSO6 C-5 sterol desaturase	1098
S000004047	YLR057W	MNL2	MaNnosidase-Like protein	""	2550
S000004048	YLR058C	SHM2	Serine HydroxyMethyltransferase	glycine hydroxymethyltransferase SHM2 SHMT2	1410
